model,Hist_run,Hist_grid,Hist_Nat_run,Hist_Nat_grid,Hist_GHG_run,Hist_GHG_grid,Hist_Aer_run,Hist_Aer_grid
MPI-ESM1-2-LR,r20i1p1f1,gn,r20i1p1f1,gn,r20i1p1f1,gn,r20i1p1f1,gn
MPI-ESM1-2-LR,r21i1p1f1,gn,r21i1p1f1,gn,r21i1p1f1,gn,r21i1p1f1,gn
MPI-ESM1-2-LR,r22i1p1f1,gn,r22i1p1f1,gn,r22i1p1f1,gn,r22i1p1f1,gn
MRI-ESM2-0,r1i1p1f1,gn,r1i1p1f1,gn,r1i1p1f1,gn,r1i1p1f1,gn
MRI-ESM2-0,r2i1p1f1,gn,r2i1p1f1,gn,r2i1p1f1,gn,r2i1p1f1,gn
MRI-ESM2-0,r3i1p1f1,gn,r3i1p1f1,gn,r3i1p1f1,gn,r3i1p1f1,gn
MRI-ESM2-0,r4i1p1f1,gn,r4i1p1f1,gn,r4i1p1f1,gn,r4i1p1f1,gn
MRI-ESM2-0,r5i1p1f1,gn,r5i1p1f1,gn,r5i1p1f1,gn,r5i1p1f1,gn
HadGEM3-GC31-LL,r11i1p1f3,gn,r11i1p1f3,gn,r11i1p1f3,gn,r11i1p1f3,gn
HadGEM3-GC31-LL,r12i1p1f3,gn,r12i1p1f3,gn,r12i1p1f3,gn,r12i1p1f3,gn
HadGEM3-GC31-LL,r13i1p1f3,gn,r13i1p1f3,gn,r13i1p1f3,gn,r13i1p1f3,gn
HadGEM3-GC31-LL,r14i1p1f3,gn,r14i1p1f3,gn,r14i1p1f3,gn,r14i1p1f3,gn
HadGEM3-GC31-LL,r15i1p1f3,gn,r15i1p1f3,gn,r15i1p1f3,gn,r15i1p1f3,gn
MPI-ESM1-2-LR,r11i1p1f1,gn,r11i1p1f1,gn,r11i1p1f1,gn,r11i1p1f1,gn
MPI-ESM1-2-LR,r12i1p1f1,gn,r12i1p1f1,gn,r12i1p1f1,gn,r12i1p1f1,gn
MPI-ESM1-2-LR,r13i1p1f1,gn,r13i1p1f1,gn,r13i1p1f1,gn,r13i1p1f1,gn
MPI-ESM1-2-LR,r14i1p1f1,gn,r14i1p1f1,gn,r14i1p1f1,gn,r14i1p1f1,gn
MPI-ESM1-2-LR,r15i1p1f1,gn,r15i1p1f1,gn,r15i1p1f1,gn,r15i1p1f1,gn
